slug,pose,target_sci,guessed_sci,guessed_com,matches,confidence,wings,legs,head,tail,has_stick,diag_present,diag_missing,anatomy_issues,style
anthus-novaeseelandiae,1,Anthus novaeseelandiae,Anthus novaeseelandiae,Australasian Pipit,True,medium,1,2,1,1,False,"prominent pale supercilium, dark malar stripe, slender insectivorous bill, long legs with extended hind claw, patterned wing coverts","distinct breast streaking","",kachō-e-influenced watercolor
anthus-novaeseelandiae,2,Anthus novaeseelandiae,Anthus novaeseelandiae,Australasian Pipit,True,medium,2,2,1,1,False,"pale supercilium, dark eyestripe, streaked breast, white outer rectrices","long hindclaw","",true kachō-e
bubulcus-ibis,1,Bubulcus ibis,Bubulcus ibis,Cattle Egret,True,medium,1,2,1,1,False,"buff-orange breeding plumes on crown, neck, and back, stocky jowl, dagger-like bill","","",kachō-e-influenced watercolor
bubulcus-ibis,2,Bubulcus ibis,Bubulcus ibis,Cattle Egret,True,medium,2,2,1,1,False,"buff-orange head and breast plumes, dagger-like yellowish bill, white body plumage","","",kachō-e-influenced watercolor
malurus-lamberti,1,Malurus lamberti,Malurus lamberti,Variegated Fairywren,True,medium,1,2,1,1,False,"bright blue crown and ear coverts, black throat and breast, chestnut shoulder patch, long cocked tail, pale underparts","","isolated hovering feet without a perch",kachō-e-influenced watercolor
malurus-lamberti,2,Malurus lamberti,Malurus lamberti,Variegated Fairywren,True,medium,2,2,1,1,False,"bright blue crown and ear coverts, black throat and eyestripe, chestnut scapular patch, long dark tail","white underparts not clearly depicted","elongated, pointed wing shape resembles a hirundine rather than rounded fairywren wing",true kachō-e
ardea-intermedia,1,Ardea intermedia,Egretta garzetta,Little Egret,False,medium,1,2,1,1,False,"all-white plumage, thin blackish legs, long wispy nape plumes, pointed bill","yellow feet typical of Little Egret, gape line extending behind eye for Intermediate Egret","",true kachō-e
ardea-intermedia,2,Ardea intermedia,Ardea intermedia,Intermediate Egret,True,medium,2,2,1,1,False,"all-white plumage, yellow bill with dark tip, dark legs, tucked neck","","",true kachō-e
tyto-alba,1,Tyto alba,Tyto alba,Barn Owl,True,medium,2,2,1,1,False,"heart-shaped facial disc, dark eyes, buff upperparts, fine spotting on pale underparts","","",kachō-e-influenced watercolor
tyto-alba,2,Tyto alba,Tyto alba,Barn Owl,True,medium,2,2,1,1,False,"heart-shaped facial disc, dark eyes, buff-toned upperparts, fine spotting on underside and wings","fine grey mantle vermiculations","",kachō-e-influenced watercolor
